FechaPrediccion(UTC)	Hora	Vel78m(m/s)	Dir_78m
2015/01/12 09:00 8.094682 247.95477
2015/01/12 10:00 8.248122 258.31458
2015/01/12 11:00 7.563887 263.48987
2015/01/12 12:00 7.260017 267.41577
2015/01/12 13:00 7.3051486 266.71783
2015/01/12 14:00 7.517167 262.75784
2015/01/12 15:00 8.336684 260.07053
2015/01/12 16:00 9.261505 259.05606
2015/01/12 17:00 9.999212 260.24747
2015/01/12 18:00 10.388806 262.35608
2015/01/12 19:00 10.584146 266.1955
2015/01/12 20:00 10.4717455 269.94522
2015/01/12 21:00 10.176765 271.85837
2015/01/12 22:00 9.625611 271.21976
2015/01/12 23:00 8.977103 268.1383
2015/01/13 00:00 7.706262 278.0459
2015/01/13 01:00 6.5699663 272.17584
2015/01/13 02:00 5.6703043 260.34088
2015/01/13 03:00 5.7867875 250.08545
2015/01/13 04:00 6.600827 245.3236
2015/01/13 05:00 7.6873665 246.25815
2015/01/13 06:00 8.411304 246.51271
2015/01/13 07:00 8.5116825 244.42264
2015/01/13 08:00 7.853403 240.85674
2015/01/13 09:00 7.0889664 233.67665
2015/01/13 10:00 6.5738754 224.9532
2015/01/13 11:00 6.491753 222.49605
2015/01/13 12:00 6.141088 223.26657
2015/01/13 13:00 5.6848464 219.01736
2015/01/13 14:00 6.0438375 212.86797
2015/01/13 15:00 6.974383 208.92244
2015/01/13 16:00 7.724284 208.56844
2015/01/13 17:00 8.037142 209.62473
2015/01/13 18:00 8.0236225 210.15353
2015/01/13 19:00 7.8264356 210.09155
2015/01/13 20:00 7.600664 210.52664
2015/01/13 21:00 7.4365864 211.52843
2015/01/13 22:00 7.2676296 211.40196
2015/01/13 23:00 7.123217 210.76926
2015/01/14 00:00 6.6861815 208.92285
2015/01/14 01:00 6.3596535 207.1393
2015/01/14 02:00 6.333196 202.08084
2015/01/14 03:00 6.224608 198.12564
2015/01/14 04:00 6.174311 193.25998
2015/01/14 05:00 6.0765824 190.00786
2015/01/14 06:00 6.028223 186.67702
2015/01/14 07:00 6.1939154 183.73203
2015/01/14 08:00 6.229641 181.89442
2015/01/14 09:00 5.764668 179.49147
2015/01/14 10:00 5.2077985 172.66791
2015/01/14 11:00 4.677416 164.32445
2015/01/14 12:00 4.2181506 158.18959
2015/01/14 13:00 4.24941 153.78917
2015/01/14 14:00 4.851492 152.17754
2015/01/14 15:00 5.933306 152.63037
2015/01/14 16:00 6.8037953 153.94028
2015/01/14 17:00 7.1822023 157.51979
2015/01/14 18:00 7.287719 161.75139
2015/01/14 19:00 7.147725 166.31058
2015/01/14 20:00 6.934964 169.77232
2015/01/14 21:00 6.6385026 174.1794
2015/01/14 22:00 6.2701 180.19487
2015/01/14 23:00 5.8566823 187.33554
2015/01/15 00:00 6.225033 166.14197
2015/01/15 01:00 5.4939075 172.92876
2015/01/15 02:00 4.961722 178.78696
2015/01/15 03:00 4.5517473 187.82295
2015/01/15 04:00 4.478353 201.33963
2015/01/15 05:00 4.856986 222.498
2015/01/15 06:00 5.509074 240.13037
2015/01/15 07:00 6.1251597 251.78233
2015/01/15 08:00 6.673865 263.68896
2015/01/15 09:00 6.8093076 272.55786
2015/01/15 10:00 6.3292217 277.40802
2015/01/15 11:00 5.9990606 279.7943
2015/01/15 12:00 6.0462275 286.9789
2015/01/15 13:00 6.1345162 294.78293
2015/01/15 14:00 6.587182 299.98422
2015/01/15 15:00 7.2145605 303.06946
2015/01/15 16:00 7.5425367 307.1197
2015/01/15 17:00 7.7057242 311.0949
2015/01/15 18:00 7.859092 312.6139
2015/01/15 19:00 8.499494 313.60132
2015/01/15 20:00 9.244705 315.20972
2015/01/15 21:00 9.570265 318.2371
2015/01/15 22:00 9.146523 321.34842
2015/01/15 23:00 8.438493 321.92072
2015/01/16 00:00 7.9453554 317.69662
2015/01/16 01:00 7.7870526 320.03336
2015/01/16 02:00 7.0990157 323.10687
2015/01/16 03:00 6.3666487 324.5764
2015/01/16 04:00 5.6024566 325.30435
2015/01/16 05:00 4.8440995 324.3997
2015/01/16 06:00 4.081873 320.9271
2015/01/16 07:00 3.472264 316.0303
2015/01/16 08:00 2.746236 313.07642
2015/01/16 09:00 1.9034957 302.2576
2015/01/16 10:00 1.5358987 275.73108
2015/01/16 11:00 1.6045965 262.14377
2015/01/16 12:00 1.4687761 259.44614
