CodParque	NombreParque	Latitud	Longitud	Altura	
036	PANTE01	44.5094	28.3208	78


"FechaPrediccion(UTC)"	"T2M(C)"	"Vel10m(m/s)"	"Dir_10m"	"Vel_Hm(m/s)"	"Dir_Hm"
2015-01-09 22:00	0	5.7518106	238.9981	13.45138	239.59799
2015-01-09 23:00	0	6.269938	242.38779	13.426224	242.20042
2015-01-10 0:00	0	5.914529	223.08058	13.815909	225.3705
2015-01-10 1:00	0	6.869468	228.53143	14.655126	229.87045
2015-01-10 2:00	0	7.8597693	237.9267	15.482439	237.42303
2015-01-10 3:00	0	8.626687	243.91434	15.946924	242.84952
2015-01-10 4:00	0	8.938697	247.54897	15.705861	246.3381
2015-01-10 5:00	0	8.617016	251.52666	14.872376	250.77922
2015-01-10 6:00	0	7.8795953	255.90123	13.57797	255.32521
2015-01-10 7:00	0	6.986393	258.13474	12.08026	256.9865
2015-01-10 8:00	0	6.7202277	258.31177	11.514088	257.88422
2015-01-10 9:00	0	6.8776684	259.57315	11.229717	259.27316
2015-01-10 10:00	0	6.6963854	263.26974	10.450963	262.99503
2015-01-10 11:00	0	5.950849	269.96902	9.14435	271.60617
2015-01-10 12:00	0	5.0678916	267.88763	7.8736324	270.21826
2015-01-10 13:00	0	4.643226	265.24298	7.8331623	266.3204
2015-01-10 14:00	0	4.0200434	265.09082	7.9130526	265.2715
2015-01-10 15:00	0	3.5166366	264.9778	8.045283	264.75613
2015-01-10 16:00	0	3.4589272	261.14108	8.044649	263.24017
2015-01-10 17:00	0	3.4392278	254.49896	8.183153	259.16504
2015-01-10 18:00	0	3.5131876	246.08093	8.537868	252.24913
2015-01-10 19:00	0	4.07169	241.99854	9.705024	246.69072
2015-01-10 20:00	0	4.028583	238.09846	10.353941	243.01982
2015-01-10 21:00	0	3.5873709	230.4055	10.201811	237.53632
2015-01-10 22:00	0	3.5319982	221.82927	10.554167	231.05858
2015-01-10 23:00	0	4.3093505	213.87259	11.420713	224.10419
2015-01-11 0:00	0	4.7577043	212.52045	12.191144	218.40555
2015-01-11 1:00	0	5.3522477	222.93692	12.800661	225.29202
2015-01-11 2:00	0	5.693343	234.24094	13.051392	233.62077
2015-01-11 3:00	0	5.75225	246.45892	13.02567	243.14746
2015-01-11 4:00	0	5.9157495	254.63939	12.943235	250.96826
2015-01-11 5:00	0	5.9023786	258.5305	12.61127	255.60727
2015-01-11 6:00	0	5.7142467	259.38388	12.091549	256.98376
2015-01-11 7:00	0	5.6681995	258.7012	11.447748	256.95996
2015-01-11 8:00	0	5.59232	258.05664	10.729115	256.8945
2015-01-11 9:00	0	5.345672	257.262	10.099118	256.60974
2015-01-11 10:00	0	5.062947	254.70044	9.485947	254.48604
2015-01-11 11:00	0	4.826079	250.4941	8.8367	250.75923
2015-01-11 12:00	0	4.3100863	244.90114	8.143695	245.78416
2015-01-11 13:00	0	3.5942166	236.89882	7.7113028	238.37938
2015-01-11 14:00	0	2.5021706	225.42587	7.8662777	230.16603
2015-01-11 15:00	0	3.1244218	217.44931	8.336149	226.08649
2015-01-11 16:00	0	3.1493769	210.19505	7.8394747	225.55122
2015-01-11 17:00	0	3.2914183	193.79367	7.631367	218.83316
2015-01-11 18:00	0	3.4717994	174.29578	7.495499	208.69864
2015-01-11 19:00	0	2.6248999	159.22461	5.783539	207.98755
2015-01-11 20:00	0	1.2174242	159.91808	3.6322117	234.30229
2015-01-11 21:00	0	2.017135	279.92896	4.780718	291.05212
2015-01-11 22:00	0	3.4329162	294.932	7.8898406	312.09906
2015-01-11 23:00	0	5.24707	309.1144	11.482114	333.21848
2015-01-12 0:00	0	6.2083516	288.04962	12.026781	307.73752
2015-01-12 1:00	0	6.113617	293.9159	11.749037	311.37827
2015-01-12 2:00	0	6.1209607	302.66043	10.652145	317.64136
2015-01-12 3:00	0	6.0570984	321.90118	9.549371	332.6122
2015-01-12 4:00	0	5.230486	328.573	7.5048366	333.76904
2015-01-12 5:00	0	3.512515	311.51624	5.4185576	315.83566
2015-01-12 6:00	0	2.4654708	265.94702	3.573237	272.1521
2015-01-12 7:00	0	3.6952434	240.68697	6.0118055	243.7628
2015-01-12 8:00	0	4.7027607	243.87048	7.7246127	243.09653
2015-01-12 9:00	0	6.3577867	248.28078	8.094682	247.95477
2015-01-12 10:00	0	6.9778924	258.53098	8.248122	258.31458
2015-01-12 11:00	0	6.5323653	262.65897	7.563887	263.48987
2015-01-12 12:00	0	6.2119875	265.7609	7.260017	267.41577
2015-01-12 13:00	0	5.897231	265.49347	7.3051486	266.71783
2015-01-12 14:00	0	4.9032464	262.07758	7.517167	262.75784
2015-01-12 15:00	0	4.388098	260.4096	8.336684	260.07053
2015-01-12 16:00	0	4.5786633	259.9974	9.261505	259.05606
2015-01-12 17:00	0	4.731698	260.04272	9.999212	260.24747
2015-01-12 18:00	0	4.8636503	260.7825	10.388806	262.35608
2015-01-12 19:00	0	4.9345117	263.35593	10.584146	266.1955
2015-01-12 20:00	0	4.9571075	265.9032	10.4717455	269.94522
2015-01-12 21:00	0	4.7859225	266.9046	10.176765	271.85837
2015-01-12 22:00	0	4.4782395	265.89804	9.625611	271.21976
2015-01-12 23:00	0	4.1202035	263.25995	8.977103	268.1383
2015-01-13 0:00	0	3.5227623	266.7065	7.706262	278.0459
2015-01-13 1:00	0	3.099263	259.6449	6.5699663	272.17584
2015-01-13 2:00	0	2.7088287	249.68803	5.6703043	260.34088
2015-01-13 3:00	0	2.7957683	245.59065	5.7867875	250.08545
2015-01-13 4:00	0	3.0248804	244.43091	6.600827	245.3236
2015-01-13 5:00	0	3.15796	245.21225	7.6873665	246.25815
2015-01-13 6:00	0	3.3188505	243.8547	8.411304	246.51271
2015-01-13 7:00	0	3.7232318	241.09882	8.5116825	244.42264
2015-01-13 8:00	0	3.7159643	238.55066	7.853403	240.85674
2015-01-13 9:00	0	3.589553	232.29268	7.0889664	233.67665
2015-01-13 10:00	0	3.5626473	224.36188	6.5738754	224.9532
2015-01-13 11:00	0	3.8630939	221.3768	6.491753	222.49605
